sample	project	seqtype	date	filter_fraction
P1850_2001	LMO	16SDNA	2012-05-07	3
P1850_2002	LMO	16SDNA	2012-05-10	3
P1850_2003	LMO	16SDNA	2012-05-16	3
P1850_2004	LMO	16SDNA	2012-05-21	3
P1850_2005	LMO	16SDNA	2012-05-24	3
P1850_2006	LMO	16SDNA	2012-05-28	3
P1850_2007	LMO	16SDNA	2012-05-31	3
P1850_2008	LMO	16SDNA	2012-06-04	3
P1850_2009	LMO	16SDNA	2012-06-07	3
P1850_2010	LMO	16SDNA	2012-06-13	3
P1850_2011	LMO	16SDNA	2012-06-18	3
P1850_2012	LMO	16SDNA	2012-06-21	3
P1850_2013	LMO	16SDNA	2012-06-28	3
P1850_2014	LMO	16SDNA	2012-07-02	3
P1850_2015	LMO	16SDNA	2012-07-05	3
P1850_2016	LMO	16SDNA	2012-07-09	3
P1850_2017	LMO	16SDNA	2012-07-12	3
P1850_2018	LMO	16SDNA	2012-07-17	3
P1850_2019	LMO	16SDNA	2012-07-24	3
P1850_2020	LMO	16SDNA	2012-07-26	3
P1850_2021	LMO	16SDNA	2012-07-30	3
P1850_2022	LMO	16SDNA	2012-08-02	3
P1850_2023	LMO	16SDNA	2012-08-06	3
P1850_2024	LMO	16SDNA	2012-08-09	3
P1850_2025	LMO	16SDNA	2012-08-13	3
P1850_2026	LMO	16SDNA	2012-08-16	3
P1850_2027	LMO	16SDNA	2012-08-20	3
P1850_2028	LMO	16SDNA	2012-08-23	3
P1850_2029	LMO	16SDNA	2012-08-28	3
P1850_2030	LMO	16SDNA	2012-08-30	3
P1850_2031	LMO	16SDNA	2012-09-03	3
P1850_2032	LMO	16SDNA	2012-09-06	3
P1850_2033	LMO	16SDNA	2012-09-10	3
P1850_2034	LMO	16SDNA	2012-09-13	3
P1850_2035	LMO	16SDNA	2012-09-20	3
P1850_2036	LMO	16SDNA	2012-09-24	3
P1850_2037	LMO	16SDNA	2012-09-27	3
P1850_2038	LMO	16SDNA	2012-10-01	3
P1850_2039	LMO	16SDNA	2012-10-04	3
P1850_2040	LMO	16SDNA	2012-10-11	3
P1850_2041	LMO	16SDNA	2012-10-15	3
P1850_2042	LMO	16SDNA	2012-10-18	3
P1850_2043	LMO	16SDNA	2012-10-22	3
P1850_2044	LMO	16SDNA	2012-10-24	3
P1850_2045	LMO	16SDNA	2012-10-29	3
P1850_2046	LMO	16SDNA	2012-11-05	3
P1850_2047	LMO	16SDNA	2012-11-23	3
P1850_2048	LMO	16SDNA	2012-11-28	3
P1850_2049	LMO	16SDNA	2012-12-06	3
P1850_2050	LMO	16SDNA	2012-12-20	3
P1850_2051	LMO	16SDNA	2013-01-23	3
P1850_2052	LMO	16SDNA	2013-04-03	3
P1850_2053	LMO	16SDNA	2013-04-16	3
P1850_2054	LMO	16SDNA	2013-04-18	3
P1850_2055	LMO	16SDNA	2013-04-29	3
P1850_2056	LMO	16SDNA	2013-05-02	3
P1850_2057	LMO	16SDNA	2013-05-07	3
P1850_2058	LMO	16SDNA	2013-05-13	3
P1850_2059	LMO	16SDNA	2013-05-16	3
P1850_2060	LMO	16SDNA	2013-05-20	3
P1850_2061	LMO	16SDNA	2013-05-24	3
P1850_2062	LMO	16SDNA	2013-05-27	3
P1850_2063	LMO	16SDNA	2013-05-30	3
P1850_2064	LMO	16SDNA	2013-06-05	3
P1850_2065	LMO	16SDNA	2013-06-10	3
P1850_2066	LMO	16SDNA	2013-06-17	3
P1850_2067	LMO	16SDNA	2013-06-20	3
P1850_2068	LMO	16SDNA	2013-06-24	3
P1850_2069	LMO	16SDNA	2013-06-27	3
P1850_2070	LMO	16SDNA	2013-07-01	3
P1850_2071	LMO	16SDNA	2013-07-05	3
P1850_2072	LMO	16SDNA	2013-07-08	3
P1850_2073	LMO	16SDNA	2013-07-12	3
P1850_2074	LMO	16SDNA	2013-07-15	3
P1850_2075	LMO	16SDNA	2013-07-18	3
P1850_2076	LMO	16SDNA	2013-07-22	3
P1850_2077	LMO	16SDNA	2013-07-25	3
P1850_2078	LMO	16SDNA	2013-07-29	3
P1850_2079	LMO	16SDNA	2013-08-01	3
P1850_2081	LMO	16SDNA	2013-08-08	3
P1850_2082	LMO	16SDNA	2013-08-12	3
P1850_2083	LMO	16SDNA	2013-08-15	3
P1850_2084	LMO	16SDNA	2013-08-19	3
P1850_2085	LMO	16SDNA	2013-08-22	3
P1850_2086	LMO	16SDNA	2013-08-26	3
P1850_2087	LMO	16SDNA	2013-08-29	3
P1850_2088	LMO	16SDNA	2013-09-02	3
P1850_2089	LMO	16SDNA	2013-09-05	3
P1850_2090	LMO	16SDNA	2013-09-09	3
P1850_2091	LMO	16SDNA	2013-09-12	3
P1850_2092	LMO	16SDNA	2013-09-16	3
P1850_2093	LMO	16SDNA	2013-09-19	3
P1850_2094	LMO	16SDNA	2013-09-26	3
P1850_2095	LMO	16SDNA	2013-09-30	3
P1850_2096	LMO	16SDNA	2013-10-03	3
P1850_2080	LMO	16SDNA	2013-10-07	3